File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xemit.c",NaN,-0.0,NaN,NaN,226,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/GvimExt/gvimext.h",NaN,-0.0,NaN,NaN,95,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/GvimExt/resource.h",NaN,-0.0,NaN,NaN,10,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/Commands.h",NaN,-0.0,NaN,NaN,101,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/DSAddIn.h",NaN,-0.0,NaN,NaN,33,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/OleAut.h",NaN,-0.0,NaN,NaN,65,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/Resource.h",NaN,-0.0,NaN,NaN,25,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/StdAfx.h",NaN,-0.0,NaN,NaN,23,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/VisVim/VisVim.h",NaN,-0.0,NaN,NaN,17,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/alloc.h",NaN,-0.0,NaN,NaN,23,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/ascii.h",NaN,-0.0,NaN,NaN,135,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/beval.h",NaN,-0.0,NaN,NaN,74,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/dosinst.h",NaN,-0.0,NaN,NaN,348,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/ex_cmdidxs.h",NaN,-0.0,NaN,NaN,61,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/ex_cmds.h",NaN,-0.0,NaN,NaN,1802,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/feature.h",NaN,-0.0,NaN,NaN,469,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/glbl_ime.h",NaN,-0.0,NaN,NaN,25,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/globals.h",NaN,-0.0,NaN,NaN,981,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui.h",NaN,-0.0,NaN,NaN,404,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_at_sb.h",NaN,-0.0,NaN,NaN,74,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_dwrite.h",NaN,-0.0,NaN,NaN,48,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_gtk_f.h",NaN,-0.0,NaN,NaN,54,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_gtk_vms.h",NaN,-0.0,NaN,NaN,643,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_w32_rc.h",NaN,-0.0,NaN,NaN,3,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_x11_pm.h",NaN,-0.0,NaN,NaN,75,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_xmebw.h",NaN,-0.0,NaN,NaN,33,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/gui_xmebwp.h",NaN,-0.0,NaN,NaN,41,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/if_cscope.h",NaN,-0.0,NaN,NaN,48,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/if_mzsch.h",NaN,-0.0,NaN,NaN,53,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/if_ole.h",NaN,-0.0,NaN,NaN,167,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/if_perl_msvc/stdbool.h",NaN,-0.0,NaN,NaN,3,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/if_py_both.h",NaN,-0.0,NaN,NaN,5622,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/iscygpty.h",NaN,-0.0,NaN,NaN,9,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/keymap.h",NaN,-0.0,NaN,NaN,314,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/kword_test.c",NaN,-0.0,NaN,NaN,57,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/bin/unterm.c",NaN,-0.0,NaN,NaN,238,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/bin/vterm-ctrl.c",NaN,-0.0,NaN,NaN,299,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/bin/vterm-dump.c",NaN,-0.0,NaN,NaN,188,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/include/vterm.h",NaN,-0.0,NaN,NaN,275,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/include/vterm_keycodes.h",NaN,-0.0,NaN,NaN,49,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/keyboard.c",NaN,-0.0,NaN,NaN,189,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/mouse.c",NaN,-0.0,NaN,NaN,78,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/rect.h",NaN,-0.0,NaN,NaN,43,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/termscreen.c",NaN,-0.0,NaN,NaN,714,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/utf8.h",NaN,-0.0,NaN,NaN,36,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/src/vterm_internal.h",NaN,-0.0,NaN,NaN,195,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/libvterm/t/harness.c",NaN,-0.0,NaN,NaN,816,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/macros.h",NaN,-0.0,NaN,NaN,184,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/memfile_test.c",NaN,-0.0,NaN,NaN,93,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/message_test.c",NaN,-0.0,NaN,NaN,74,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/nbdebug.h",NaN,-0.0,NaN,NaN,39,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/option.h",NaN,-0.0,NaN,NaN,1100,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_amiga.h",NaN,-0.0,NaN,NaN,177,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_beos.h",NaN,-0.0,NaN,NaN,11,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_dos.h",NaN,-0.0,NaN,NaN,104,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_mac.h",NaN,-0.0,NaN,NaN,196,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_mint.h",NaN,-0.0,NaN,NaN,3,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_qnx.h",NaN,-0.0,NaN,NaN,10,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_unix.h",NaN,-0.0,NaN,NaN,381,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_unixx.h",NaN,-0.0,NaN,NaN,78,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_vms_conf.h",NaN,-0.0,NaN,NaN,117,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_vms_mms.c",NaN,-0.0,NaN,NaN,78,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/os_win32.h",NaN,-0.0,NaN,NaN,142,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/po/sjiscorr.c",NaN,-0.0,NaN,NaN,43,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/proto.h",NaN,-0.0,NaN,NaN,268,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/protodef.h",NaN,-0.0,NaN,NaN,10,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/regexp.h",NaN,-0.0,NaN,NaN,93,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/spell.h",NaN,-0.0,NaN,NaN,174,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/structs.h",NaN,-0.0,NaN,NaN,2548,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/term.h",NaN,-0.0,NaN,NaN,175,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/uninstal.c",NaN,-0.0,NaN,NaN,335,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/version.h",NaN,-0.0,NaN,NaN,20,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/vim.h",NaN,-0.0,NaN,NaN,1803,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/vimio.h",NaN,-0.0,NaN,NaN,9,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xdiff.h",NaN,-0.0,NaN,NaN,87,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xdiffi.c",NaN,-0.0,NaN,NaN,596,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xdiffi.h",NaN,-0.0,NaN,NaN,33,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xemit.h",NaN,-0.0,NaN,NaN,7,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xhistogram.c",NaN,-0.0,NaN,NaN,264,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xinclude.h",NaN,-0.0,NaN,NaN,35,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xmacros.h",NaN,-0.0,NaN,NaN,13,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xpatience.c",NaN,-0.0,NaN,NaN,245,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xprepare.c",NaN,-0.0,NaN,NaN,333,0,0,0,0,0,0
"/home/paulobernardo/Pesquisa/vim/source/xdiff/xprepare.h",NaN,-0.0,NaN,NaN,5,0,0,0,0,0,0
