FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG
move.c,1298,"void scrollup(long line_count, int byfold UNUSED)",8.352657,6.130435,1.2222222,1.0,69,47,114,9,11,2,9,0
os_unix.c,580,"void mch_delay(long msec, int ignoreinput)",8.266667,6.6000004,1.0,0.6666667,60,44,76,9,9,4,6,4
evalfunc.c,3109,"static void f_environ(typval_T * argvars UNUSED, typval_T * rettv)",8.2349205,6.377778,1.0,0.85714287,45,41,66,7,7,2,6,4
channel.c,634,"static void channel_gui_unregister_one(channel_T * channel, ch_part_T part)",8.2,4.2,2.0,2.0,25,21,80,5,10,4,10,2
gui_mac.c,5951,char_u * FullPathFromFSSpec_save(FSSpec file),8.134689,6.75969,1.0,0.375,129,109,131,8,8,1,3,2
channel.c,550,"static void channel_gui_register_one(channel_T * channel, ch_part_T part)",8.130434,4.1304345,2.0,2.0,46,38,162,5,10,4,10,2
ui.c,115,"int ui_inchar(char_u * buf, int maxlen, long wtime, int tb_change_cnt)",8.001587,6.5571427,1.2222222,0.22222222,70,51,87,9,11,6,2,2
gui.c,67,void gui_start(char_u * arg UNUSED),7.976812,6.376812,1.2,0.4,69,44,63,10,12,6,4,0
getchar.c,5343,void init_mappings(void),7.7380953,3.2380953,2.25,2.25,21,17,78,4,9,4,9,1
findfile.c,2612,void simplify_filename(char_u * filename),7.6733336,5.84,1.0,0.8333333,150,146,189,6,6,4,5,2
os_unix.c,2970,"void mch_set_acl(char_u * fname UNUSED, vim_acl_T aclent)",7.376623,5.090909,1.0,1.2857143,22,16,42,7,7,4,9,3
os_unix.c,2993,void mch_free_acl(vim_acl_T aclent),7.376623,5.090909,1.0,1.2857143,22,16,42,7,7,4,9,3
if_cscope.c,2206,"static void cs_release_csp(int i, int freefnpp)",7.372093,5.372093,1.0,1.0,86,66,119,7,7,4,7,3
gui_gtk.c,425,void gui_gtk_register_stock_icons(void),7.161905,4.7619047,1.4,1.0,84,80,187,5,7,2,5,6
gui_x11.c,1295,int gui_mch_init(void),7.131707,5.731707,1.1,0.3,164,94,108,10,11,6,3,3
if_ruby.c,971,static int ensure_ruby_initialized(void),7.089286,5.714286,1.125,0.25,49,35,45,8,9,4,2,2
gui_motif.c,379,void gui_x11_create_widgets(void),7.072485,5.822485,1.0,0.25,169,123,129,8,8,5,2,1
option.c,5932,"static long_u * insecure_flag(int opt_idx, int opt_flags)",7.0714283,4.0714283,1.6666666,1.3333334,28,19,45,6,10,6,8,0
evalfunc.c,9929,"static void f_resolve(typval_T * argvars, typval_T * rettv)",7.042424,5.7090907,1.0,0.33333334,165,157,298,6,6,2,2,2
os_unix.c,1382,"static void catch_signals(RETSIGTYPE( * func_deadly)(), RETSIGTYPE( * func_other)())",7.0392156,3.7058823,2.0,1.3333334,34,21,76,6,12,5,8,3
mbyte.c,4943,static void im_preedit_window_open(),7.0360613,4.893204,2.0,0.14285715,103,72,169,7,14,2,1,5
fileio.c,5308,static int buf_write_bytes(struct bw_info * ip),6.804508,5.429508,1.0,0.375,305,207,242,8,8,7,3,0
os_unix.c,1238,void mch_suspend(void),6.6857142,4.285714,1.6,0.8,28,24,66,5,8,5,4,3
misc1.c,2869,int vim_ispathsep(int c),6.666667,4.666667,1.0,1.0,18,14,33,6,6,3,6,3
gui_gtk.c,687,"void gui_mch_add_menu_item(vimmenu_T * menu, int idx)",6.529762,4.958333,1.0,0.5714286,96,68,106,7,7,2,4,3
syntax.c,9491,static void set_hl_attr(int idx),6.4084034,4.6941175,1.0,0.71428573,85,57,84,7,7,5,5,0
gui_gtk_x11.c,6348,"void gui_mch_clear_block(int row1arg, int col1arg, int row2arg, int col2arg)",6.3537416,5.020408,1.0,0.33333334,49,41,53,6,6,1,2,3
gui_motif.c,1250,"void gui_mch_add_menu_item(vimmenu_T * menu, int idx)",6.2515264,4.965812,1.0,0.2857143,117,83,92,7,7,5,2,0
evalfunc.c,9575,"static void f_remote_peek(typval_T * argvars UNUSED, typval_T * rettv)",6.2,4.6,1.0,0.6,50,46,66,5,5,2,3,2
main.c,3705,static void prepare_server(mparm_T * parmp),6.1823525,3.3823528,1.2,1.6,34,23,56,5,6,4,8,1
term.c,2722,void out_str_cf(char_u * s),6.111111,4.7777777,1.0,0.33333334,54,43,59,6,6,3,2,2
gui_gtk_x11.c,6036,"void gui_mch_invert_rectangle(int r, int c, int nr, int nc)",6.109756,3.609756,1.5,1.0,41,37,48,4,6,3,4,2
gui_mac.c,2852,"void gui_mch_prepare(int * argc, char * * argv)",6.099617,4.6551723,1.0,0.44444445,58,30,49,9,9,4,4,6
fileio.c,2962,"static void set_file_time(char_u * fname, time_t atime, time_t mtime)",6.053846,3.653846,1.4,1.0,26,19,58,5,7,4,5,2
gui_motif.c,764,void gui_mch_enable_menu(int flag),6.0190477,4.6857142,1.0,0.33333334,105,82,110,6,6,2,2,0
misc1.c,3964,"int gen_expand_wildcards(int num_pat, char_u * * pat, int * num_file, char_u * * * file, int flags)",5.944444,4.833333,1.0,0.11111111,108,58,62,9,9,4,1,1
gui.c,1360,static void gui_position_components(int total_width UNUSED),5.928571,3.5,2.2857144,0.14285715,58,29,82,7,16,10,1,2
pty.c,168,int setup_slavepty(int fd),5.894737,1.8947368,3.0,1.0,19,12,84,3,9,9,3,4
buffer.c,4805,char_u * fix_fname(char_u * fname),5.7999997,4.2,1.0,0.6,25,21,32,5,5,4,3,1
if_python.c,873,void python_end(void),5.7916665,4.125,1.0,0.6666667,32,22,35,6,6,2,4,3
pty.c,147,static void initmaster(int f UNUSED),5.75,3.75,1.0,1.0,16,12,26,5,5,4,5,2
main.c,1559,static void init_locale(void),5.6187496,4.21875,1.2,0.2,32,27,33,5,6,6,1,0
mark.c,139,void setpcmark(void),5.490909,4.090909,1.0,0.4,44,36,51,5,5,3,2,0
mbyte.c,4458,char_u * enc_locale(void),5.3599997,3.36,1.25,0.75,25,21,31,4,5,4,3,1
os_win32.c,6376,"void mch_delay(long msec, int ignoreinput UNUSED)",5.333333,3.3333333,1.5,0.5,36,30,84,4,6,3,2,3
gui_gtk.c,1177,"char_u * gui_mch_browse(int saving UNUSED, char_u * title, char_u * dflt, char_u * ext UNUSED, char_u * initdir, char_u * filter)",5.3256197,3.9256196,1.0,0.4,121,95,104,5,5,2,2,2
normal.c,5382,static void nv_clear(cmdarg_T * cap),5.3185186,3.5185184,1.4,0.4,27,19,41,5,7,6,2,1
edit.c,4203,static void ins_reg(void),5.295977,4.045977,1.0,0.25,87,44,51,8,8,4,2,0
os_unix.c,789,static void init_signal_stack(void),5.282609,2.7826087,1.5,1.0,23,16,29,4,6,2,4,2
syntax.c,8265,void restore_cterm_colors(void),5.272727,3.2727273,1.5,0.5,22,18,49,4,6,4,2,3
regexp_nfa.c,2891,"static void st_error(int * postfix UNUSED, int * end UNUSED, int * p UNUSED)",5.25,3.5,1.0,0.75,40,35,59,4,4,2,3,1
